ref;auteur;heros;titre;serie;prixPublic;prixEditeur;genre;refEdit;editeur;refFournisseur;fournisseur;resume;;
BD000073;CABU;;LES ABRUTIS SONT PARMI NOUS;;13.57;12.89;HUMOUR;6023303;ALBIN MICHEL;9782226052896;HACHETTE;;;
BD000074;CABU;;TONTON LA TERREUR;;8.99;8.54;HUMOUR;6023345;ALBIN MICHEL;9782226053220;HACHETTE;;;
BD000075;CABU;;ADIEU TONTON;;8.99;8.54;HUMOUR;6051478;ALBIN MICHEL;9782226059109;HACHETTE;;;
BD000076;CABU;;RESPONSABLES MAIS PAS COUPABLES;;8.99;8.54;HUMOUR;6051544;ALBIN MICHEL;9782226061812;HACHETTE;;;
BD000077;CABU;;SECRETS D'ETAT;;12.96;12.31;HUMOUR;6028286;ALBIN MICHEL;9782226061928;HACHETTE;;;
BD000078;CABU;;A VOTRE BON COEUR L'ABBE PIERRE CHEZ LES EXCLUS;;10.52;9.99;HUMOUR;6051809;ALBIN MICHEL;9782226077875;HACHETTE;;;
BD000079;CABU;;LES AVENTURES EPATANTES DE JACQUES CHIRAC;;10.52;9.99;HUMOUR;6051965;ALBIN MICHEL;9782226087034;HACHETTE;;;
BD000080;CABU;;SHOWBIZ;;7.93;7.1;HUMOUR;6014195;ALBIN MICHEL;9782226022936;HACHETTE;;;
BD000081;CABU;;LE RETOUR DU GROS BLOND;;10.52;9.99;HUMOUR;6052112;ALBIN MICHEL;9782226093677;HACHETTE;;;
BD000082;CABU;GRAND DUDUCHE;LE MEILLEUR DU GRAND DUDUCHE;;14.94;14.19;HUMOUR;6052476;ALBIN MICHEL;9782226105578;HACHETTE;;;
BD000083;CABU;;VAS Y JOSPIN;;10.52;9.99;HUMOUR;6052526;ALBIN MICHEL;9782226107329;HACHETTE;;;
BD000084;CESTAC / EDITH / DODO / ROQUES;;QUATRE PUNAISES AU CLUB;;9.91;9.41;HUMOUR;6051833;ALBIN MICHEL;9782226078315;HACHETTE;;;
BD000085;COLLECTIF;AMNESTY INTERNATIONAL;AMNESTY INTERNATIONAL AU SECOURS;;13.57;12.89;;6029409;ALBIN MICHEL;9782226065483;HACHETTE;;;
BD000086;COLLECTIF;;VIVE LE FOOT;;11.89;11.3;HUMOUR;239503;ALBIN MICHEL;9782226100832;HACHETTE;;;
BD000087;CREPAX;VENUS;VENUS A LA FOURRURE;;13.72;13.03;EROTIQUE;6000277;ALBIN MICHEL;9782226022776;HACHETTE;;;
BD000088;CREPAX;ANITA;ANITA 88;;14.48;13.76;EROTIQUE;6002109;ALBIN MICHEL;9782226031563;HACHETTE;;;
BD000089;CREPAX;ANITA;ANITA EN DIRECT;;11.43;10.86;EROTIQUE;6018923;ALBIN MICHEL;9782226034120;HACHETTE;;;
BD000090;CRUMB;;MES FEMMES;;14.48;13.76;HUMOUR;6020440;ALBIN MICHEL;9782226037312;HACHETTE;Rondes, géantes, pulpeuses, dotées d'attributs digne des Vénus préhistoriques et d'un appêtit littéralement dévorant, telles sont les femmes de CRUMB.;;
BD000091;CRUMB;;BELLE D'UN JOUR;;10.52;9.99;HUMOUR;6051213;ALBIN MICHEL;9782226037428;HACHETTE;Anciens babas, nouveaux paumés, mais tous reconvertis à l'arrivisme et au yuppisme triomphant. Voici le monde de Belle, dont elle est le centre et le plus beau fleuron. Tout est bon pour Belle pour se faire valoir dans la course à la réussite sociale.;;
BD000092;DAVIS;TALES FROM THE CRYPT;PLUS MORTS QUE VIVANTS - T1;;8.99;8.54;FANTASTIQUE;6052591;ALBIN MICHEL;9782226107961;HACHETTE;;;
BD000093;DAVIS;TALES FROM THE CRYPT;QUI A PEUR DU GRAND MECHANT LOUP - T2;;8.99;8.54;FANTASTIQUE;6052534;ALBIN MICHEL;9782226107978;HACHETTE;;;
BD000094;DENIS;;L'OMBRE AUX TABLEAUX;;10.52;9.99;AVENTURE;6051338;ALBIN MICHEL;9782226051608;HACHETTE;;;
BD000095;DENIS;BONBON PIMENT;BONBON PIMENT;;12.04;11.44;AVENTURE;6024178;ALBIN MICHEL;9782226055590;HACHETTE;;;
BD000096;DENIS;LE PELICAN;LE PELICAN;;10.52;9.99;AVENTURE;6051692;ALBIN MICHEL;9782226074652;HACHETTE;;;
BD000097;DENIS;DROLES D'OISIFS;DROLES D'OISIFS;;9.91;9.41;AVENTURE;6051866;ALBIN MICHEL;9782226078704;HACHETTE;;;
